"Summary of the Bayesian multilevel models showing the effects of patch size, patch area/perimeter ratio, urbanization score, distance to the nearest patch, jurisdictional agency types (01 for federal, 02 for state, 03 county, 04 cross-county, 05 city, and 06 for others), distance to the patch edge, and distance to the nearest paved trail on multilevel models of forest patch diversity, structure, and complexity across the Anoka Sandplain, Big Woods, and St. Paul - Baldwin ecological subsections. The abbreviations represent Marginal R2 (Marg. R2), Conditional R2 (Cond. R2), standard error of the estimate (Est. Error), lower (l-95% CI) and upper (u-95% CI) bounds of the 95% credible interval for the estimate, model convergence diagnostic (Rhat),  effective sample size for bulk estimates (Bulk ESS), and Effective sample size for the distribution tails (Tail ESS). For detailed descriptions of predictors, see the Methods section.",,,,,,,,,,,
Response variable,Ecological subsection,Marg. R2,Cond. R2,Predictor,Estimate,Est. Error,l-95% CI,u-95% CI,Rhat,Bulk ESS,Tail ESS
,,,,agency type 2,-0.28,0.32,-0.93,0.35,1,5251,6300
,,,,agency type 3,-0.31,0.3,-0.89,0.29,1,5271,6416
,,,,agency type 4,-0.73,0.54,-1.78,0.34,1,9536,8720
,,,,agency type 5,-0.23,0.3,-0.83,0.37,1,5407,6974
,,,,distance to patch edge (m),-0.01,0.02,-0.05,0.02,1,16992,9358
,,,,distance to paved trail (m),0.06,0.03,0,0.13,1,8743,7454
,Big Woods,0.104,0.144,Intercept,3.31,0.09,3.13,3.49,1,8266,8405
,,,,patch size (m2),0.01,0.02,-0.03,0.04,1,15060,8633
,,,,Patch area/perimeter ratio,0.02,0.04,-0.07,0.1,1,15124,9332
,,,,urbanization score,-0.03,0.02,-0.06,0.01,1,13310,9453
,,,,distance to nearest patch (km),0,0.01,-0.03,0.02,1,19094,9463
,,,,agency type 2,0.42,0.14,0.16,0.69,1,19215,8894
,,,,agency type 3,0.49,0.24,0.02,0.96,1,13735,9345
,,,,agency type 4,0.2,0.11,-0.01,0.42,1,8687,9101
,,,,agency type 5,0.43,0.13,0.17,0.68,1,8846,8579
,,,,agency type 6,0.03,0.31,-0.59,0.65,1,16227,10240
,,,,distance to patch edge (m),0,0.02,-0.03,0.03,1,20315,9734
,,,,distance to paved trail (m),0.04,0.04,-0.04,0.12,1,11042,8763
,St. Paul - Baldwin,0.178,0.334,Intercept,4.64,0.38,3.9,5.39,1,3193,5019
,,,,patch size (m2),0.09,0.05,0,0.18,1,6276,7446
,,,,Patch area/perimeter ratio,-0.04,0.03,-0.09,0.02,1,6952,8795
,,,,urbanization score,0.06,0.04,-0.01,0.13,1,5862,8093
,,,,distance to nearest patch (km),0.04,0.03,-0.03,0.1,1,6762,8088
,,,,agency type 2,-0.75,0.4,-1.54,0.03,1,3409,5140
,,,,agency type 3,-1.11,0.38,-1.88,-0.37,1,3258,5673
,,,,agency type 4,-1.83,0.58,-2.97,-0.71,1,4039,6320
,,,,agency type 5,-1.05,0.4,-1.85,-0.28,1,3276,5212
,,,,agency type 6,-1.12,0.46,-2.04,-0.22,1,3848,6372
,,,,distance to patch edge (m),0.01,0.02,-0.03,0.05,1,14589,9634
,,,,distance to paved trail (m),0.02,0.03,-0.04,0.08,1,7450,8878
DBH variation,Anoka Sandplain,0.123,0.148,Intercept,12.61,0.77,11.1,14.11,1,8294,7974
,,,,patch size (m2),0.07,0.07,-0.06,0.21,1,14304,8827
,,,,Patch area/perimeter ratio,0,0.07,-0.13,0.14,1,15085,9650
,,,,urbanization score,0.01,0.09,-0.16,0.18,1,16401,9030
,,,,distance to nearest patch (km),0.08,0.07,-0.06,0.22,1,15264,9653
,,,,agency type 2,-0.42,0.84,-2.09,1.21,1,8559,7330
,,,,agency type 3,-0.31,0.78,-1.87,1.24,1,8518,8215
,,,,agency type 4,-0.77,1.6,-3.89,2.38,1,13474,9633
,,,,agency type 5,-0.66,0.79,-2.23,0.89,1,8596,8236
,,,,distance to patch edge (m),0.1,0.06,-0.01,0.22,1,20958,8715
,,,,distance to paved trail (m),0.1,0.1,-0.09,0.3,1,18104,9277
,Big Woods,0.094,0.15,Intercept,11.78,0.25,11.27,12.25,1,4973,6066
,,,,patch size (m2),-0.01,0.05,-0.1,0.08,1,11744,9219
,,,,Patch area/perimeter ratio,-0.04,0.11,-0.24,0.18,1,10557,9160
,,,,urbanization score,0.02,0.05,-0.07,0.11,1,11463,9024
,,,,distance to nearest patch (km),0.03,0.03,-0.04,0.1,1,12917,9193
,,,,agency type 2,0.3,0.35,-0.39,0.99,1,14014,9695
,,,,agency type 3,-0.78,0.63,-1.98,0.49,1,9597,7925
,,,,agency type 4,-0.31,0.3,-0.89,0.31,1,5344,7048
,,,,agency type 5,-1,0.35,-1.67,-0.3,1,5116,6888
,,,,agency type 6,0.11,0.84,-1.49,1.79,1,11309,8947
,,,,distance to patch edge (m),0,0.04,-0.08,0.08,1,15681,8887
,,,,distance to paved trail (m),-0.09,0.11,-0.3,0.13,1,7539,8167
,St. Paul - Baldwin,0.098,0.133,Intercept,10.91,0.7,9.52,12.34,1,5371,6234
,,,,patch size (m2),-0.08,0.1,-0.27,0.12,1,11207,9579
,,,,Patch area/perimeter ratio,0.03,0.06,-0.09,0.15,1,12196,10268
,,,,urbanization score,0.1,0.08,-0.05,0.26,1,9999,9370
,,,,distance to nearest patch (km),0.05,0.07,-0.1,0.2,1,13062,9764
,,,,agency type 2,0.86,0.74,-0.62,2.31,1,6186,7137
,,,,agency type 3,0.49,0.72,-0.97,1.9,1,5502,6265
,,,,agency type 4,1.56,1.2,-0.84,3.9,1,6773,8207
,,,,agency type 5,-0.01,0.76,-1.55,1.47,1,5504,6249
,,,,agency type 6,0.36,0.89,-1.38,2.13,1,6611,7795
,,,,distance to patch edge (m),0,0.05,-0.1,0.11,1,24233,9937
,,,,distance to paved trail (m),0.02,0.07,-0.11,0.16,1,14795,9775
Canopy density variation,Anoka Sandplain,0.121,0.339,Intercept,8.66,2.2,4.28,12.96,1,3935,5934
,,,,patch size (m2),-0.3,0.23,-0.78,0.15,1,5856,7200
,,,,Patch area/perimeter ratio,-0.12,0.19,-0.48,0.24,1,6284,7848
,,,,urbanization score,-0.02,0.23,-0.46,0.43,1,7465,9279
,,,,distance to nearest patch (km),-0.13,0.2,-0.51,0.25,1,7762,8661
,,,,agency type 2,1.81,2.38,-2.87,6.51,1,4067,6334
,,,,agency type 3,1.27,2.23,-3.06,5.8,1,3963,5863
,,,,agency type 4,0.29,3.71,-6.91,7.54,1,7117,8745
,,,,agency type 5,2.09,2.27,-2.39,6.6,1,4033,5893
,,,,distance to patch edge (m),-0.1,0.12,-0.34,0.14,1,13971,9823
,,,,distance to paved trail (m),0.04,0.27,-0.49,0.57,1,7001,7691
,Big Woods,0.105,0.313,Intercept,10.46,0.63,9.24,11.74,1,7471,8404
,,,,patch size (m2),0.23,0.12,-0.01,0.47,1,10217,9124
,,,,Patch area/perimeter ratio,-0.07,0.23,-0.51,0.38,1,13134,9762
,,,,urbanization score,0.1,0.11,-0.13,0.32,1,10009,9691
,,,,distance to nearest patch (km),0.01,0.08,-0.14,0.16,1,12387,9461
,,,,agency type 2,0.11,0.69,-1.24,1.48,1,17358,9852
,,,,agency type 3,-0.24,1.48,-3.19,2.74,1,11441,9536
,,,,agency type 4,-1.23,0.75,-2.69,0.25,1,7709,7966
,,,,agency type 5,-1.11,0.83,-2.76,0.51,1,7757,8794
,,,,agency type 6,-0.17,1.87,-3.78,3.46,1,12354,9879
,,,,distance to patch edge (m),-0.26,0.08,-0.42,-0.1,1,19581,10134
,,,,distance to paved trail (m),-0.01,0.28,-0.57,0.54,1,8184,8087
,St. Paul - Baldwin,0.163,0.261,Intercept,11.53,1.48,8.64,14.46,1,4816,6381
,,,,patch size (m2),0,0.2,-0.42,0.39,1,8077,8096
,,,,Patch area/perimeter ratio,0.13,0.13,-0.12,0.39,1,9726,9910
,,,,urbanization score,0.05,0.16,-0.27,0.37,1,7386,9323
,,,,distance to nearest patch (km),0.07,0.15,-0.23,0.37,1,10234,9033
,,,,agency type 2,0.16,1.59,-3,3.22,1,5429,7388
,,,,agency type 3,-0.34,1.52,-3.31,2.64,1,4944,6322
,,,,agency type 4,-3.72,2.48,-8.43,1.24,1,5803,7122
,,,,agency type 5,-1.17,1.59,-4.29,1.94,1,4895,6763
,,,,agency type 6,-2.73,1.86,-6.36,1.07,1,6361,7631
,,,,distance to patch edge (m),-0.1,0.1,-0.31,0.1,1,21104,9367
,,,,distance to paved trail (m),0.09,0.14,-0.19,0.36,1,11817,9658
